Designator,Mid X,Mid Y,Rotation,Layer
C1,164.49,-75.99,270.0,top
C2,167.0,-76.0,270.0,top
C3,173.374998,-60.97,90.0,top
C4,176.374998,-60.97,90.0,top
C5,157.450001,-67.849517,0.0,top
C6,145.874998,-67.47,180.0,top
C7,148.874998,-75.47,0.0,top
J1,185.01,-72.43,0.0,top
L1,146.374998,-75.97,90.0,top
R1,169.89,-76.03,90.0,top
R2,172.0,-71.0,270.0,top
R3,168.5,-68.0,180.0,top
R4,149.374998,-67.47,180.0,top
R5,151.374998,-71.97,270.0,top
R6,187.355,-63.12,0.0,top
R7,187.355,-60.12,0.0,top
U1,166.849999,-71.805999,270.0,top
U2,167.475,-65.475,0.0,top
U3,148.0,-71.5,90.0,top
U4,158.0,-71.5,90.0,top
Y1,166.8,-62.5,180.0,top
