Designator,Footprint,Quantity,Value,LCSC Part #
"_15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,15,,
"C1, C20, C36, C42",0805,4,"0,01u",
"C10, C15, C22, C26, C27, C3, C30, C31, C33, C35, C4, C8",0805,12,1u,
"C11, C16, C18, C19, C21, C23, C24, C28, C5, C6",0805,10,"0,1u",
C12,0805,1,"4,7n",
"C13, C2, C25, C29",0805,4,10u,
"C14, C9",0805,2,"4,7u",
C17,0805,1,4700p,
"C32, C44",0805,2,22n,
"C34, C43",0805,2,"0,47u",
"C37, C38, C39, C40, C41",0805,5,TDB,
C7,0805,1,33p,
"D1, D2",0805,2,LED,
J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
"J2, J3, J4",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
"L1, L2",SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm,2,L,
R1,0805,1,1K,
"R10, R5",0805,2,10R,
R11,0805,1,100K,
R12,0805,1,76K8,
"R13, R15, R18, R19",0805,4,"56,2K",
"R14, R16, R23, R27, R8",0805,5,10K,
R17,0805,1,NTC,
"R2, R4",0805,2,1R,
R20,0805,1,56K2,
"R21, R22",0805,2,"3,6K",
R24,0805,1,470,
R25,0805,1,470R,
R26,0805,1,140R,
R28,0805,1,360R,
R29,0805,1,33K,
R3,0805,1,20m,
"R6, R7",0805,2,5K1,
R9,0805,1,12k1,
"U1, U8",DBV0005A-IPC_A,2,PTPS7A2033PDBVR,
U2,DCK0006A_N,1,INA199A1DCKR,
"U3, U5",DPC0008A,2,CSD97376Q4M,
U4,RGZ0048A,1,BQ500212ARGZR,
U6,RHL20_2P05X3P05,1,BQ51013BRHLR,
U7,SOT-23-5_MC_MCH,1,MCP73831T-2ATI/OT,
