Designator,Mid X,Mid Y,Rotation,Layer
C1,105.1,-78.78,0.0,top
C10,138.5,-39.05,90.0,top
C11,144.45,-104.5,0.0,top
C12,109.55,-90.82,0.0,top
C13,140.55,-104.5,180.0,top
C14,145.0,-35.55,90.0,top
C15,140.5,-34.55,90.0,top
C16,136.0,-97.05,90.0,top
C17,114.0,-84.8,0.0,top
C18,131.0,-97.05,90.0,top
C19,133.5,-97.05,90.0,top
C2,84.5,-50.05,90.0,top
C20,114.0,-93.83,0.0,top
C21,128.5,-97.05,90.0,top
C22,137.55,-101.45,270.0,top
C23,118.45,-81.79,0.0,top
C24,134.55,-105.5,0.0,top
C25,130.45,-105.5,180.0,top
C26,118.45,-90.82,0.0,top
C27,118.45,-93.83,0.0,top
C28,139.19,-61.08,0.0,top
C29,139.19,-64.09,0.0,top
C3,84.5,-54.95,270.0,top
C30,139.19,-67.1,0.0,top
C31,139.19,-70.11,0.0,top
C32,139.19,-73.12,0.0,top
C33,139.19,-76.13,0.0,top
C34,143.64,-61.08,0.0,top
C35,143.64,-64.09,0.0,top
C36,143.64,-67.1,0.0,top
C37,143.64,-70.11,0.0,top
C38,143.64,-73.12,0.0,top
C39,143.64,-76.13,0.0,top
C4,97.5,-52.05,270.0,top
C40,148.09,-61.08,0.0,top
C41,148.09,-64.09,0.0,top
C42,148.09,-67.1,0.0,top
C43,148.09,-70.11,0.0,top
C44,148.09,-73.12,0.0,top
C5,105.1,-90.82,0.0,top
C6,105.1,-93.83,0.0,top
C7,105.1,-96.84,0.0,top
C8,147.5,-99.95,270.0,top
C9,142.0,-40.05,90.0,top
D1,132.76,-61.095,0.0,top
D2,157.31,-70.385,0.0,top
J1,77.5,-52.5,270.0,top
J2,161.77,-85.0,90.0,top
J3,158.57,-77.89,0.0,top
R1,105.25,-61.05,0.0,top
R10,110.0,-69.9,0.0,top
R11,110.0,-72.85,0.0,top
R12,110.0,-75.8,0.0,top
R13,114.75,-61.05,0.0,top
R14,114.75,-64.0,0.0,top
R15,114.75,-66.95,0.0,top
R16,114.75,-69.9,0.0,top
R17,114.75,-72.85,0.0,top
R18,114.75,-75.8,0.0,top
R19,119.5,-61.05,0.0,top
R2,105.25,-64.0,0.0,top
R20,119.5,-64.0,0.0,top
R21,119.5,-66.95,0.0,top
R22,119.5,-69.9,0.0,top
R23,119.5,-72.85,0.0,top
R24,119.5,-75.8,0.0,top
R25,152.69,-61.05,0.0,top
R26,152.69,-64.0,0.0,top
R27,152.69,-66.95,0.0,top
R28,152.69,-69.9,0.0,top
R29,152.69,-72.85,0.0,top
R3,105.25,-66.95,0.0,top
R4,105.25,-69.9,0.0,top
R5,105.25,-72.85,0.0,top
R6,78.0,-60.5,0.0,top
R7,77.5,-44.0,0.0,top
R8,110.0,-64.0,0.0,top
R9,110.0,-66.95,0.0,top
U1,92.650483,-52.0,0.0,top
U2,124.200001,-74.630002,0.0,top
U3,143.175,-100.400001,270.0,top
U4,130.696499,-40.696499,0.0,top
U5,133.0,-101.800001,270.0,top
U6,153.295201,-77.983,0.0,top
U7,157.845399,-66.4946,180.0,top
U8,158.718102,-61.849999,0.0,top
